Pos_Threshold,Pos_Density,Neg_Threshold,Neg_Density
-2.23433016459079,6.35176415311702E-08,-2.23433016459079,0.174498158990101
-2.22891070115877,7.18641561633484E-08,-2.22891070115877,0.177336701887938
-2.22349123772675,8.12585393235555E-08,-2.22349123772675,0.180179964916349
-2.21807177429473,9.18257421200331E-08,-2.21807177429473,0.183026212419957
-2.21265231086271,1.03704756973165E-07,-2.21265231086271,0.18587368631191
-2.20723284743069,1.17050088491542E-07,-2.20723284743069,0.18872060990017
-2.20181338399867,1.32033365665069E-07,-2.20181338399867,0.191565191853064
-2.19639392056665,1.48845107500047E-07,-2.19639392056665,0.194405630294619
-2.19097445713463,1.67696655103827E-07,-2.19097445713463,0.197240117019563
-2.18555499370261,1.88822284157013E-07,-2.18555499370261,0.200066841817208
-2.18013553027059,2.12481512690342E-07,-2.18013553027059,0.202883996892851
-2.17471606683857,2.3896162011174E-07,-2.17471606683857,0.205689781374729
-2.16929660340655,2.68580394507413E-07,-2.16929660340655,0.208482405894023
-2.16387713997453,3.01689126369041E-07,-2.16387713997453,0.211260097224908
-2.1584576765425,3.38675868077604E-07,-2.1584576765425,0.214021102971129
-2.15303821311048,3.79968979702191E-07,-2.15303821311048,0.216763696285203
-2.14761874967846,4.26040982949151E-07,-2.14761874967846,0.2194861806059
-2.14219928624644,4.77412746421662E-07,-2.14219928624644,0.222186894399366
-2.13677982281442,5.34658026720838E-07,-2.13677982281442,0.224864215888901
-2.1313603593824,5.9840839133507E-07,-2.1313603593824,0.227516567758201
-2.12594089595038,6.69358550721512E-07,-2.12594089595038,0.23014242181265
-2.12052143251836,7.48272128480192E-07,-2.12052143251836,0.232740303583145
-2.11510196908634,8.35987900052494E-07,-2.11510196908634,0.235308796856807
-2.10968250565432,9.33426531938789E-07,-2.10968250565432,0.237846548118961
-2.1042630422223,1.04159785501888E-06,-2.1042630422223,0.240352270890772
-2.09884357879028,1.1616087071684E-06,-2.09884357879028,0.242824749947035
-2.09342411535826,1.29467138198844E-06,-2.09342411535826,0.245262845398778
-2.08800465192624,1.44211272209662E-06,-2.08800465192624,0.24766549662555
-2.08258518849422,1.60538389705799E-06,-2.08258518849422,0.250031726042574
-2.0771657250622,1.78607090765513E-06,-2.0771657250622,0.25236064268827
-2.07174626163018,1.98590585979742E-06,-2.07174626163018,0.254651445618078
-2.06632679819816,2.20677905294107E-06,-2.06632679819816,0.256903427090977
-2.06090733476614,2.45075192942076E-06,-2.06090733476614,0.259115975535642
-2.05548787133412,2.72007093256761E-06,-2.05548787133412,0.261288578283754
-2.0500684079021,3.01718232289712E-06,-2.0500684079021,0.263420824058655
-2.04464894447008,3.34474800297167E-06,-2.04464894447008,0.265512405208228
-2.03922948103806,3.70566240277035E-06,-2.03922948103806,0.267563119671655
-2.03381001760604,4.10307047850657E-06,-2.03381001760604,0.269572872670514
-2.02839055417402,4.54038687881179E-06,-2.02839055417402,0.271541678115543
-2.022971090742,5.02131633302839E-06,-2.022971090742,0.273469659721316
-2.01755162730998,5.54987531700615E-06,-2.01755162730998,0.275357051821999
-2.01213216387796,6.13041505225887E-06,-2.01213216387796,0.277204199882379
-2.00671270044594,6.76764589458047E-06,-2.00671270044594,0.279011560699357
-2.00129323701392,7.46666316823227E-06,-2.00129323701392,0.280779702290161
-1.9958737735819,8.23297450155619E-06,-1.9958737735819,0.282509303464625
-1.99045431014988,9.07252871933774E-06,-1.99045431014988,0.284201153079961
-1.98503484671786,9.99174634639359E-06,-1.98503484671786,0.285856148977589
-1.97961538328584,1.09975517756796E-05,-1.97961538328584,0.28747529660272
-1.97419591985382,1.20974071526777E-05,-1.97419591985382,0.289059707308518
-1.9687764564218,1.32993480258919E-05,-1.9687764564218,0.290610596347809
-1.96335699298978,1.46120208109501E-05,-1.96335699298978,0.292129280556455
-1.95793752955776,1.60447221130346E-05,-1.95793752955776,0.293617175733619
-1.95251806612574,1.76074399491262E-05,-1.95251806612574,0.295075793725277
-1.94709860269372,1.93108969078294E-05,-1.94709860269372,0.296506739218423
-1.9416791392617,2.11665952803035E-05,-1.9416791392617,0.297911706254482
-1.93625967582968,2.31868641910669E-05,-1.93625967582968,0.299292474471495
-1.93084021239766,2.53849087521053E-05,-1.93084021239766,0.300650905085631
-1.92542074896564,2.77748612578233E-05,-1.92542074896564,0.301988936623569
-1.92000128553362,3.03718344318746E-05,-1.92000128553362,0.303308580418191
-1.9145818221016,3.31919767298035E-05,-1.9145818221016,0.304611915880929
-1.90916235866958,3.62525296936905E-05,-1.90916235866958,0.305901085564899
-1.90374289523756,3.95718873466336E-05,-1.90374289523756,0.307178290033744
-1.89832343180554,4.31696576058682E-05,-1.89832343180554,0.3084457825518
-1.89290396837352,4.70667256836797E-05,-1.89290396837352,0.309705863611823
-1.8874845049415,5.12853194349308E-05,-1.8874845049415,0.31096087531712
-1.88206504150948,5.58490765990732E-05,-1.88206504150948,0.312213195635385
-1.87664557807746,6.07831138729098E-05,-1.87664557807746,0.313465232541999
-1.87122611464543,6.6114097738138E-05,-1.87122611464543,0.314719418070892
-1.86580665121341,7.18703169548658E-05,-1.86580665121341,0.315978202291344
-1.86038718778139,7.80817566188724E-05,-1.86038718778139,0.317244047229286
-1.85496772434937,8.47801736663934E-05,-1.85496772434937,0.318519420751812
-1.84954826091735,9.19991736957022E-05,-1.84954826091735,0.31980679043362
-1.84412879748533,9.97742889597748E-05,-1.84412879748533,0.321108617424075
-1.83870933405331,0.000108143057369,-1.83870933405331,0.322427350333473
-1.83328987062129,0.000117145102326,-1.83328987062129,0.323765419156895
-1.82787040718927,0.000126822213204,-1.82787040718927,0.325125229253734
-1.82245094375725,0.000137218426247,-1.82245094375725,0.326509155400693
-1.81703148032523,0.000148380105689,-1.81703148032523,0.327919535935571
